@ HyperIMU - ianovir
@ Date:Thu Aug 17 09:24:25 GMT+03:00 2023, Sampling Rate:100ms

bma4xy_accelerometer.x,bma4xy_accelerometer.y,bma4xy_accelerometer.z,oem_pseudo_gyro.x,oem_pseudo_gyro.y,oem_pseudo_gyro.z
-0.702,-0.273,10.30395,0.0207625,0.023375,-0.155375
-0.46800002,-0.45705003,9.969001,0.0191125,0.1236125,-0.4873
-0.67605,-0.36795002,9.84405,0.0270875,0.0906125,-0.4362875
-0.68295,-0.31995,9.70995,-0.011275,0.0672375,-0.1243
-0.76905006,-0.22500001,9.741,-0.0284625,0.012375,0.1401125
-0.85095006,-0.105000004,9.342,0.036025,0.0735625,-0.14093749
-0.39600003,-0.84000003,10.713,-0.0243375,-0.0457875,-0.039325
-0.10605001,-0.483,9.981001,-0.164725,-0.1969,0.1329625
-0.61905,-0.507,10.146001,0.0210375,-0.04895,-0.049225
-0.597,-0.45195,10.543051,0.0045375,0.104499996,0.036849998
-0.48195,-0.17895001,9.19995,-0.0202125,0.018424999,0.10395
-0.573,-0.23400001,9.583051,0.046475,-0.074525,-0.02695
-0.55605,-0.14805001,9.86295,0.0603625,0.0132,-0.133375
-0.46800002,-0.24405001,9.672001,0.025575,-0.0226875,0.0094875
-0.49905002,-0.17895001,9.68595,0.0198,0.003575,-0.07095
-0.48195,-0.22905001,9.835051,0.0202125,0.0155375,0.0114124995
-0.29295,-0.25305,9.688951,-0.008525,-0.015125,0.23375
-0.38205,-0.23400001,9.92595,0.0268125,-0.0345125,-0.0504625
-0.609,-0.097950004,9.744,-0.01925,-0.052249998,-0.0202125
-0.34800002,-0.29205,9.889951,-0.003575,0.019524999,0.1639
-0.42495003,-0.24405001,9.66705,-0.0144375,-0.0015125,-0.0092124995
-0.43695003,-0.37305,10.048051,0.0059125,0.0176,-0.3180375
-0.42000002,-0.402,9.909,-0.03795,-0.015262499,-0.1390125
-0.573,-0.23700002,9.555,-0.0518375,-0.014025,0.2297625
-0.50100005,-0.27705002,9.780001,-0.0070125,0.033825,0.074525
-0.564,-0.31800002,9.76095,0.022824999,0.035475,-0.251075
-0.504,-0.34695002,9.835051,-5.5E-4,0.02805,-0.049225
-0.47700003,-0.39000002,9.835051,-0.0213125,0.01045,0.036575
-0.51105005,-0.35205,9.801001,-0.0122375,0.0045375,0.0287375
-0.45795003,-0.75105006,10.11495,-0.0292875,4.125E-4,0.103675
-0.55200005,-0.58605003,9.693001,-0.1287,-0.0077,0.108075
-0.564,-0.68205005,9.82005,-0.0826375,-0.02035,0.034649998
-0.564,-0.648,9.727051,-0.029975,0.0143,-0.2462625
-0.50895,-0.68205005,9.757951,-0.0358875,0.006875,-0.071775
-0.55605,-0.75105006,9.99705,-0.016775,0.0088,-0.07755
-0.49395,-0.68205005,9.703051,-0.01595,0.005225,0.01705
-0.46500003,-0.60105,9.603001,-0.0053625,-0.0064625,0.05335
-0.49905002,-0.79200006,10.498051,0.018424999,-0.005225,0.0419375
-0.34095,-0.44700003,9.13095,0.0149875,0.0045375,0.02035
-0.54,-0.36600003,9.81105,0.0900625,-0.007975,0.0732875
-0.47505003,-0.31305,9.682051,0.0702625,-0.02145,0.061049998
-0.504,-0.36600003,9.84,0.0605,-0.005225,-0.041249998
-0.50595003,-0.32805002,9.672001,0.032725,0.00715,-0.03355
-0.52005005,-0.32505003,9.76095,0.027224999,0.0088,0.0829125
-0.49905002,-0.39000002,9.816001,0.0099,4.125E-4,0.0682
-0.48900002,-0.28695002,9.813001,0.0026125,0.0022,0.026124999
-0.50595003,-0.30405003,9.910951,0.02365,-0.021175,-0.028875
-0.46305,-0.30795002,9.813001,0.0187,-0.00935,-0.18205
-0.39405003,-0.22905001,9.604951,0.00605,-0.009625,0.0199375
-0.41505003,-0.28905,9.865951,0.0078375,-0.015675,0.2206875
-0.38205,-0.33705002,9.913951,0.004675,-0.042625,0.0614625
-0.38895002,-0.27705002,9.75105,0.0133375,-0.018424999,-0.070675
-0.30705002,-0.15300001,9.543,0.0144375,-0.0059125,-0.2850375
-0.35805002,-0.23700002,9.93,0.0254375,-0.04235,-0.1038125
-0.303,-0.18405001,9.624001,0.0011,-0.0191125,0.0198
-0.324,-0.294,9.885,-0.00495,-0.037675,0.278575
-0.32205,-0.29895002,9.7890005,-0.0207625,-0.0108624995,0.24695
-0.252,-0.20805001,9.703051,-0.01375,-0.001375,0.0567875
-0.252,-0.26805001,9.801001,0.0075625,-0.0213125,-0.154
-0.16395001,-0.33705002,9.76305,-0.0031625,-0.006875,-0.0485375
-0.29805002,-0.33705002,9.918,-0.0022,-0.00275,-0.0941875
-0.252,-0.36105,9.89505,-0.00715,-6.875E-4,-0.0394625
-0.22395001,-0.30105,9.804001,-0.0215875,-0.0081124995,0.14465
-0.24495001,-0.33705002,9.8230505,-0.0100375,-1.375E-4,0.0166375
-0.19005,-0.30105,9.703051,-0.0160875,-0.014162499,0.23595
-0.22800002,-0.31095,9.95205,0.0031625,-0.009625,-0.01375
-0.33600003,-0.31800002,9.87495,0.01485,0.0055,-0.037675
-0.23805001,-0.30600002,9.691051,0.002475,0.014025,0.00495
-0.23805001,-0.37605003,9.95205,0.003025,0.0034375,-0.1720125
-0.252,-0.31305,9.708,-0.006875,-0.004125,-0.0490875
-0.18795002,-0.38700002,9.90705,-0.014575,-0.018975,0.1810875
-0.22095,-0.44505003,9.898951,-0.018424999,-0.03575,-0.0265375
-0.21405001,-0.47400004,9.68595,-0.02805,-0.011275,0.1111
-0.324,-0.411,9.916051,-0.02695,-0.002475,-0.117425
-0.11400001,-0.42105,9.86295,-0.0314875,-9.625E-4,-0.170775
0.015000001,-0.61200005,9.957001,5.5E-4,-0.004675,-0.062425
0.0049500004,-0.61005,9.98595,-0.035475,-0.0611875,0.08415
-0.09195001,-0.55305004,9.86295,-0.0389125,-0.0457875,0.0037125
-0.075,-0.48105,9.691051,-0.0094875,-0.011,0.125125
-0.03705,-0.50205004,9.636001,0.0048125,-0.005775,0.076175
-0.07305,-0.45000002,9.58605,-0.0020625,-0.001925,0.131175
-0.07005,-0.61695004,10.08405,0.0103124995,0.043449998,-0.30085
0.003,-0.62895006,9.904051,-0.0081124995,0.013062499,-0.0969375
-0.075,-0.55695003,9.81105,-0.0034375,1.375E-4,-0.0627
-0.06795,-0.60300004,9.792001,-0.002475,0.01045,-0.0235125
-0.08505,-0.54105,9.889951,0.0020625,-0.0078375,0.091437496
-0.15705001,-0.57195,9.708,0.0138875,0.0033,0.070125
-0.049050003,-0.63195,9.885,-0.0099,0.0097624995,-0.0427625
-0.06795,-0.648,9.705001,-0.01705,0.0017875,-0.2619375
-0.063,-0.65295005,9.33195,-0.032449998,-0.015262499,0.1648625
-0.19995001,-0.71505004,9.61695,-0.0188375,0.0187,-0.120725
-0.22605,-0.77295005,9.721951,-0.051975,0.00715,0.266475
-0.291,-0.86595005,9.79905,-0.0592625,0.0196625,-0.0031625
-0.25500003,-0.84195006,9.61005,-0.0606375,0.031625,0.072875
-0.20505,-0.90195006,9.7890005,-0.038225,0.0301125,-0.027224999
-0.18105,-0.684,9.732,-0.0171875,0.0240625,0.0048125
0.112950005,-0.63195,9.595051,0.045649998,0.00385,-0.18493749
0.108,-0.32505003,9.531,0.0873125,-0.1496,0.28105
0.21105,-0.36600003,9.87495,0.1266375,-0.132825,0.1513875
0.20595,-0.37095,9.966001,0.0875875,-0.0873125,0.1027125
0.17295001,-0.41595003,9.837001,0.0545875,-0.0350625,0.0270875
0.19695,-0.39000002,9.7560005,0.0086624995,0.0034375,-0.3128125
0.21300001,-0.39495003,9.780001,-0.0022,-0.0034375,-0.040975
0.3,-0.38700002,9.65505,-0.0138875,-0.0154,-0.148775
0.24705002,-0.33705002,9.528001,-0.0048125,-0.0086624995,-0.0746625
0.22500001,-0.43305,9.703051,1.375E-4,6.875E-4,-0.0174625
0.3,-0.34395,9.588,-0.00275,6.875E-4,0.2176625
0.18195,-0.33495003,9.693001,0.032725,-0.015125,-0.0378125
0.39105,-0.19095,9.571051,0.024475,-0.02365,-0.20047499
0.40695003,-0.31605002,9.84195,0.0257125,-0.0655875,0.141625
0.32295,-0.282,9.897,0.0155375,-0.0202125,-0.032449998
0.441,-0.31800002,9.8539505,0.0193875,0.0022,0.1456125
0.37905002,-0.29895002,10.036051,0.0154,-0.00715,0.1007875
0.35205,-0.32295,10.00905,-0.006325,-0.0066,-0.1359875
0.34305,-0.26505002,9.72,-0.0,0.0103124995,0.0012375
0.312,-0.37305,9.724951,0.003575,0.0165,0.100375
0.075,-0.25605002,9.82995,0.009075,0.037675,0.0606375
0.12495001,-0.41895002,10.029,0.013612499,0.0785125,-0.0906125
-0.11595,-0.19800001,9.769951,0.0191125,0.0779625,0.1035375
-0.37695003,-0.025950002,9.741,0.027224999,0.1040875,0.040975
-0.26700002,-0.009000001,9.684,0.038775,0.1122,-0.0484
-0.25995,-0.048,9.769951,0.047849998,0.0471625,-0.1810875
-0.20205002,-0.112050004,9.768001,0.0281875,0.0325875,-0.242
-0.279,-0.15795001,9.90705,0.0031625,0.007425,0.078375
-0.31005,-0.15300001,9.93,-0.00935,0.020075,0.1632125
-0.23295002,-0.13095,9.733951,-0.00715,0.03575,0.069299996
-0.26205,-0.08595,9.804001,-2.75E-4,-0.0067375,-0.0374
-0.15900001,-0.14805001,9.78195,-0.0055,-0.0114124995,0.11825
-0.20205002,-0.15,9.877951,-0.0026125,-0.02145,-0.0576125
-0.19695,-0.12900001,9.95895,-2.75E-4,-0.0048125,-0.276375
-0.13695,-0.112050004,9.682051,-1.375E-4,-0.0072875,-0.009075
-0.10605001,-0.162,9.922951,-0.0037125,-0.00825,0.060225
-0.16395001,-0.094950005,9.78195,-0.0028875,-0.0237875,0.234025
-0.11595,-0.11895001,9.82005,-5.5E-4,2.75E-4,0.129525
-0.25695002,-0.12195001,9.835051,0.00165,-0.0078375,-0.16555
-0.14895001,-0.12195001,9.591001,-0.0012375,0.0092124995,-0.2239875
-0.21195,-0.08595,9.78705,-0.0039875,0.0048125,-0.088275
-0.231,-0.30795002,9.885,-0.00275,0.017324999,0.1043625
-0.18795002,-0.19605,9.523951,-0.05335,0.02695,0.053075
-0.11595,-0.36105,9.96405,-0.0328625,-0.002475,-0.0510125
-0.70995003,-0.25800002,9.92595,-0.012375,0.006875,-0.0826375
-0.31500003,-0.342,9.784051,-0.0015125,0.1249875,-0.2864125
-0.34095,-0.28500003,9.954,-0.006875,0.011,-0.118525
-0.23295002,-0.048,9.387,-0.0191125,-0.0506,-0.1808125
0.087000005,-0.16005,9.648001,0.070125,-0.0389125,-0.406725
-0.21195,0.15,10.696051,0.0556875,-0.106425,-0.344575
0.52695,0.0139500005,12.09,0.1447875,-0.072325,-0.8801375
0.63495004,0.08805001,9.351001,0.053075,-0.18095,-0.8602
1.0540501,0.25095,7.7880006,0.041525,-0.2322375,-0.4767125
0.54795,-1.335,6.9259505,-0.120725,-0.3081375,-0.13475
-1.77495,-0.69105005,11.236951,-0.768075,0.0099,1.5389
0.31605002,-2.19495,17.064001,-0.0242,0.501325,0.0320375
-0.97800004,1.83,6.4120502,-0.0264,0.013062499,-0.18975
1.04595,0.564,4.96395,0.5498625,-0.0474375,-1.0880375
0.48600003,-0.16005,12.943951,0.187,-1.08075,-0.088
2.3800502,0.23895001,10.1959505,0.1749,0.2770625,0.2982375
-1.5310501,-0.99495006,1.9759501,-0.0952875,-0.2305875,1.2016125
-1.26705,-2.05605,4.4710503,-0.88467497,0.5489,2.0813375
0.15105,-1.9290001,13.53495,-0.864875,0.1835625,2.22035
2.9560502,-0.624,11.194051,0.49774998,0.5071,-1.8931
3.0499501,-1.149,7.1130004,0.70235,-0.0686125,-2.9368625
3.18405,-0.55695003,16.19205,0.500225,-0.8130375,-1.6017375
4.1290503,-5.40705,16.21095,0.280225,0.1973125,-0.625625
-1.9759501,-5.53095,-0.048,-0.40645,-0.2190375,2.845425
-1.4299501,-3.14505,5.7340503,-1.8640875,-0.61861247,6.523412
-0.46500003,0.88005006,13.285951,0.7907625,0.489775,1.6691124
