@ HyperIMU - ianovir
@ Date:Wed Aug 16 09:36:12 GMT+03:00 2023, Sampling Rate:100ms

bma4xy_accelerometer.x,bma4xy_accelerometer.y,bma4xy_accelerometer.z,oem_pseudo_gyro.x,oem_pseudo_gyro.y,oem_pseudo_gyro.z
-0.29295,-0.060000002,9.765,-0.3026375,0.2046,3.531275
-0.35295,-0.045,9.579,-0.6125625,0.4002625,9.5359
-0.06105,-0.17895001,9.61005,-0.2913625,0.0798875,3.4744875
-0.25500003,-0.17205001,10.14795,-0.16733749,-0.129525,0.9106625
-0.43695003,-0.016050002,9.70995,-0.0559625,-0.044275,0.20075
-0.33405003,0.045,9.777,0.0022,0.052249998,-0.0694375
-0.18105,-0.08595,9.588,0.005225,0.001375,0.0364375
-0.26205,-0.12195001,9.82005,-0.0070125,0.0204875,0.0356125
-0.08505,-0.177,10.081051,-0.0521125,-0.0845625,0.05555
-0.087000005,-0.06705,9.427951,-0.023375,-0.0477125,-0.0099
-0.15405001,-0.30600002,10.218,0.0127875,0.0022,0.0675125
0.06705,-0.16995001,9.825001,0.014162499,-0.004125,-0.11495
0.17295001,-0.261,10.036051,-0.003575,-0.0809875,-0.0248875
-0.28605002,-0.0019500001,9.78195,-0.021175,-0.0570625,0.048125
-0.135,-0.016050002,9.70995,0.032175,0.04675,-0.082775
-0.16095,0.00405,9.966001,0.0240625,-0.0100375,0.0691625
-0.25005,0.049950004,9.777,0.0268125,0.0100375,-0.100375
-0.18495001,-0.03795,9.92595,0.004125,0.0177375,-0.0232375
-0.18795002,0.045,9.769951,-0.015125,0.004675,0.02585
-0.13305001,-0.08805001,9.8539505,0.0083875,-0.00935,0.1293875
-0.23595001,0.07395,9.873,-0.0097624995,-0.0317625,0.0099
-0.20205002,0.00405,9.77505,0.0158125,0.006325,-0.044275
-0.135,0.018000001,9.865951,-0.0037125,8.25E-4,0.154
-0.20205002,0.00405,9.66195,-0.0020625,-0.006325,0.0675125
-0.22605,-0.052050002,9.837001,0.0122375,0.01265,-0.09515
-0.20205002,0.057000004,9.804001,0.0114124995,0.0154,-0.111925
-0.102000006,-0.01905,9.93795,0.0070125,-5.5E-4,-0.005775
-0.26700002,-0.012,9.883051,-0.014025,-0.0297,-0.061049998
-0.19995001,0.0139500005,9.61905,-0.013062499,0.01265,-0.0334125
-0.26205,0.025950002,9.66495,-0.0017875,0.0086624995,0.1144
-0.24795002,0.028050002,9.712951,-0.0015125,0.0,0.051975
-0.27405003,0.19800001,9.564,0.0149875,0.015125,0.0581625
-0.147,0.13305001,9.835051,0.0567875,0.011275,-0.0408375
-0.18105,0.19605,9.61695,0.0341,-0.0213125,-0.1544125
-0.066,0.109050006,9.966001,0.031075,-0.0187,-9.625E-4
-0.09705,0.040050004,9.94005,0.0020625,-0.0191125,0.0254375
-0.12105001,-0.0019500001,9.34395,-0.0185625,-0.015262499,0.021175
-0.126,-0.25605002,9.691051,-0.0383625,0.0165,-0.009625
-0.11595,-0.36795002,9.684,-0.1568875,-0.0155375,0.0726
-0.13305001,-0.402,9.847051,-0.1233375,-0.001375,-0.055275
-0.11805001,-0.34395,9.861,-0.0539,4.125E-4,0.0506
-0.08505,-0.38295,9.684,-0.0193875,-0.0045375,-0.0166375
0.010050001,-0.47400004,9.85095,-0.017324999,-0.006875,0.0044
0.024,-0.31995,9.880051,-0.0119624995,-0.016775,-0.05775
-0.039,-0.30600002,9.8560505,0.0182875,-0.0246125,-0.005775
-0.087000005,-0.26295,9.78195,0.0292875,-0.0158125,0.073699996
-0.09705,-0.13905,9.612,0.0191125,0.0086624995,-0.0213125
0.031050002,-0.31095,9.804001,0.0243375,0.0055,-0.08195
-0.025050001,-0.34395,10.02105,0.0026125,-0.0026125,0.022824999
0.02205,-0.28005,9.92805,-0.020075,-0.007975,0.09075
0.0,-0.34695002,9.81795,-0.009075,-0.0017875,-0.0218625
-0.0010500001,-0.33195,9.732,-0.013475,-0.0034375,-0.039049998
0.052950002,-0.22005,9.580951,0.01045,-0.0078375,-0.0867625
0.10605001,-0.23400001,9.693001,0.0320375,-0.0331375,-0.058025
0.094050005,-0.21495001,9.946951,0.024475,-0.0108624995,0.0196625
0.18195,-0.18900001,9.688951,0.013612499,-0.022824999,0.0165
0.15105,-0.15495001,9.784051,0.0268125,-0.02585,0.05335
0.22095,-0.19095,9.67395,0.0125124995,-0.0345125,0.19195
0.21795002,-0.19095,9.772051,5.5E-4,-0.0358875,0.00605
0.13695,-0.069000006,9.588,-1.375E-4,-0.0037125,-0.0103124995
-0.22395001,-0.043050002,9.93795,-0.0122375,0.0133375,-0.078099996
-0.10605001,-0.10005,9.813001,0.04675,0.1390125,-0.0771375
-0.04695,-0.23400001,9.732,0.009625,0.044,-0.08635
-0.31905,-0.14805001,9.604951,-0.0526625,0.0061875,0.0812625
-0.23805001,-0.33705002,9.96405,-0.023924999,0.083875,0.0231
-0.21900001,-0.33705002,10.00695,-0.049225,0.0251625,0.1203125
-0.291,-0.26295,9.78705,-0.0339625,0.0081124995,-0.0364375
-0.27195,-0.30405003,9.813001,0.003025,0.0215875,-0.0306625
-0.231,-0.32805002,9.76095,0.0015125,0.0202125,0.0482625
-0.31905,-0.28905,9.837001,-0.00165,0.0242,-0.1192125
-0.19500001,-0.36600003,9.89505,0.0077,0.0408375,-0.0473
-0.14895001,-0.32295,9.768001,-0.0097624995,0.0048125,0.0039875
-0.28395,-0.28695002,9.84195,-0.013612499,-0.020624999,-0.0044
-0.28395,-0.30795002,9.885,-0.0026125,-0.0088,0.007425
-0.23595001,-0.31605002,9.918,0.0015125,-0.011275,-0.0237875
-0.25005,-0.38295,9.825001,-0.006875,-0.0132,-0.055275
-0.21195,-0.25800002,9.86295,-0.0210375,-0.003025,0.1637625
-0.18495001,-0.37605003,9.90705,-0.0094875,-0.0163625,-0.0275
-0.17595,-0.34005,9.96405,-0.00605,-0.008525,0.0763125
-0.12105001,-0.36795002,9.80595,-0.0,-0.0072875,-0.0072875
-0.18105,-0.33495003,9.777,-0.009625,-0.023924999,0.0930875
-0.15195,-0.40905002,9.81795,0.003575,0.0066,0.0097624995
-0.147,-0.44295,9.901951,-0.004125,-0.00715,-0.098725
-0.25005,-0.354,9.801001,-0.010175,-0.0094875,0.050049998
-0.252,-0.42795002,9.82005,0.0031625,0.05115,-0.1450625
-0.135,-0.40395,9.82005,-0.0077,9.625E-4,-0.05555
-0.291,-0.31305,9.877951,0.014162499,-0.0248875,0.1093125
-0.19005,-0.27,9.580951,0.0088,0.0111375,-0.012375
