@ HyperIMU - ianovir
@ Date:Tue Aug 15 09:49:34 GMT+03:00 2023, Sampling Rate:100ms

bma4xy_accelerometer.x,bma4xy_accelerometer.y,bma4xy_accelerometer.z,oem_pseudo_gyro.x,oem_pseudo_gyro.y,oem_pseudo_gyro.z
0.21795002,-0.23400001,9.67395,0.080025,0.148775,-0.111237496
0.13395001,-0.27705002,9.724951,-0.0320375,-0.1665125,0.369325
0.201,-0.34695002,9.883051,-0.0680625,-0.1186625,-0.055825
0.22800002,-0.43095002,9.801001,-0.0490875,-0.066,-0.0760375
0.45795003,-0.76605004,10.347,-0.0532125,-0.0306625,-0.1441
-0.078,-0.32295,9.946951,-0.0352,-0.007975,0.1271875
-0.051000003,-0.32505003,9.79395,0.0554125,0.08085,-0.179025
-0.18795002,-0.19095,10.002001,0.029975,-0.0281875,-0.2897125
0.22800002,-0.38700002,9.66495,0.0092124995,0.022,-0.1255375
0.20895001,-0.14595,9.67695,-0.0528,-0.067925,0.12815
0.18900001,-0.423,9.555,0.00495,-0.0671,-0.039325
0.003,-0.43995002,10.251,0.0075625,0.0320375,0.159775
0.18195,-0.33495003,9.595051,-0.025575,0.0928125,-0.087037496
0.07005,-0.19605,9.816001,0.0468875,-0.004125,0.1343375
0.034050003,-0.246,9.918,-0.0099,-0.02805,0.2501125
0.15405001,-0.34905002,9.636001,0.02805,0.0246125,-0.2960375
0.08400001,-0.28500003,9.837001,-0.0694375,-0.0644875,0.278025
0.25395,-0.49995002,9.978001,2.75E-4,-0.0334125,0.4224
0.07005,-0.31305,9.76095,-0.02915,-0.0240625,-0.0411125
0.120000005,-0.31095,9.80805,0.016775,0.044,-0.3086875
0.112950005,-0.31605002,9.8560505,0.010175,0.0378125,-0.2330625
0.261,-0.39195,9.757951,0.0023375,0.010175,-0.159225
0.201,-0.37995002,9.82995,-0.022,-0.0471625,0.103675
0.192,-0.35895002,9.76095,-0.0092124995,-0.0177375,0.0518375
0.22305001,-0.41895002,9.922951,-0.0045375,-0.015125,-0.1214125
0.16305001,-0.41400003,9.897,-5.5E-4,-0.00165,-0.3436125
0.192,-0.31800002,9.94995,1.375E-4,0.0105875,-0.184525
0.14400001,-0.36600003,9.82995,0.0050875,-0.020075,0.1940125
0.112950005,-0.33495003,9.868051,0.021724999,0.01485,0.0559625
0.22800002,-0.31095,9.77505,0.009625,0.0158125,-0.0985875
0.14205001,-0.27,9.78705,0.0099,-0.0138875,0.080025
0.12195001,-0.31605002,9.80805,0.0053625,-0.0015125,0.051425
0.07005,-0.24105,9.89505,6.875E-4,0.0070125,-0.0592625
0.024,-0.201,10.09305,0.0154,0.0325875,-0.2259125
0.25395,-0.20295002,9.835051,0.028324999,0.0127875,-0.2072125
0.38595003,-0.26805001,9.880051,0.0295625,-0.041525,-0.04455
0.34995002,-0.14295001,9.732,0.025024999,-0.06765,0.0727375
0.41205,-0.20805001,9.739051,0.0235125,-0.0548625,0.229075
0.46500003,-0.25305,9.837001,0.012375,-0.040975,0.2143625
0.46005002,-0.21495001,9.79395,0.0081124995,-0.0276375,-0.0763125
0.38595003,-0.17205001,9.68595,-0.0169125,-0.033825,-0.1736625
0.333,-0.21300001,9.729,-0.011825,-0.0246125,4.125E-4
0.201,-0.17400001,9.816001,-0.01375,0.0045375,0.072875
-0.003,-0.165,9.8560505,0.01705,0.1546875,-0.0133375
-0.26700002,-0.16695,10.222051,0.027775,0.1414875,-0.0738375
0.031050002,-0.14295001,9.79605,0.0042625,0.1098625,0.029975
-0.039,-0.25305,9.745951,9.625E-4,0.0287375,0.0474375
-0.051000003,-0.15495001,9.79395,-0.0105875,0.023375,0.157025
0.02205,-0.17205001,9.816001,0.01155,0.014712499,0.0952875
-0.018000001,-0.15795001,9.868051,0.0067375,5.5E-4,0.184525
0.10605001,-0.21300001,9.7560005,-0.0064625,-0.016775,-0.1607375
-0.010950001,-0.177,9.828,0.0012375,-0.009075,-0.21065
-0.027,-0.20595,10.054951,-0.0012375,0.011,0.0675125
-0.006,-0.186,9.901951,0.0105875,0.0166375,0.058025
0.06705,-0.17400001,9.705001,4.125E-4,0.0023375,-0.0020625
-0.043950003,-0.13095,9.67695,-0.014575,-0.031625,-0.18865
0.036000002,-0.20595,9.92595,-0.0114124995,-0.013475,-0.2355375
0.097950004,-0.33495003,10.065001,0.006875,-0.0165,0.194425
-0.07305,-0.040050004,9.76095,0.009625,0.011,0.052249998
0.07005,-0.18195,9.94995,0.004675,-0.021175,0.2112
0.13005,-0.18405001,9.7890005,-0.0229625,-0.0548625,-0.1280125
0.26595002,-0.26505002,9.885,0.0033,-0.014162499,-0.0603625
0.14205001,-0.15495001,9.58605,0.0,-0.0213125,0.0275
0.060000002,-0.165,9.910951,0.0094875,0.0015125,-0.0658625
0.01695,-0.055050004,9.816001,0.014025,0.033825,-0.0567875
0.02205,-0.10305001,9.816001,0.03025,0.0331375,0.0320375
-0.087000005,-0.045,9.79905,0.0210375,0.0303875,0.136675
-0.022950001,-0.08805001,9.909,0.0127875,0.018424999,-0.0539
-0.003,-0.094950005,9.733951,0.011825,-0.0031625,0.1863125
0.064950004,-0.14295001,9.865951,-0.0033,0.0011,0.0342375
-0.022950001,-0.079050004,9.8539505,-2.75E-4,-0.00275,-0.093637496
-0.015000001,-0.093,9.8230505,0.002475,0.009625,0.028324999
0.031050002,-0.076050006,9.837001,-9.625E-4,0.00715,-0.216425
