@ HyperIMU - ianovir
@ Date:Tue Aug 15 09:40:12 GMT+03:00 2023, Sampling Rate:100ms

bma4xy_accelerometer.x,bma4xy_accelerometer.y,bma4xy_accelerometer.z,oem_pseudo_gyro.x,oem_pseudo_gyro.y,oem_pseudo_gyro.z
-0.40800002,-0.14595,9.84405,4.9875374,-6.7321377,5.51155
-0.36495003,-0.12195001,9.81105,3.5404875,-2.1357875,4.0275126
-0.42705002,-0.15795001,10.014001,2.0658,-0.555775,1.78915
-0.40800002,-0.12195001,9.65505,0.99825,-0.0171875,0.43175
-0.43005002,-0.21000001,10.048051,0.362725,0.018975,0.3950375
-0.41505003,-0.16695,9.801001,0.1684375,0.02475,-0.019524999
-0.46800002,-0.124050006,9.825001,0.10175,0.0424875,-0.0325875
-0.42000002,-0.097950004,9.724951,0.0595375,0.028875,-0.0369875
-0.45600003,-0.21000001,9.835051,0.03355,0.007425,0.06655
-0.32700002,-0.08805001,9.67905,-6.875E-4,0.008525,0.176
-0.384,-0.081,9.715051,0.0254375,-0.026124999,0.0647625
-0.41805002,-0.072000004,9.768001,0.041249998,-0.0056375,-0.353375
-0.41295,-0.076050006,9.90705,0.0221375,0.0042625,-0.147675
-0.42495003,-0.01905,9.78705,-0.0017875,0.0037125,0.2508
-0.44895002,-0.043050002,9.765,0.0042625,-0.0026125,-0.0028875
-0.48495004,-0.024,9.80595,0.022,-0.011275,-0.0831875
-0.34800002,-0.0139500005,9.703051,0.00605,-0.005225,0.0462
-0.35295,-0.043050002,9.801001,0.006325,-0.0105875,0.0017875
-0.34800002,-0.094950005,9.772051,0.0011,-0.0072875,-0.042075
-0.41505003,-0.049950004,9.792001,-0.00385,-8.25E-4,0.009625
-0.48705003,0.09705,9.744,-0.015262499,0.0083875,0.183425
-0.39405003,-0.11895001,9.80595,0.0097624995,0.0055,0.1342
-0.35805002,-0.024,9.79905,-0.015675,-0.006875,0.113575
-0.324,-0.08595,9.889951,0.009625,-0.01485,-0.1551
-0.513,0.045,9.696,0.0012375,-0.0070125,-0.1276
-0.86295,0.25095,10.371,0.0521125,0.0881375,-0.06985
0.02205,-0.13605,9.38895,-0.0763125,-0.055825,0.229075
0.45495003,-0.77805007,10.368,-0.0391875,-0.0738375,0.2536875
-0.49905002,0.08295,9.717,-0.115225,-0.142725,0.3004375
-0.65895003,0.29895002,9.957001,0.124025,0.09295,-0.2475
-0.28605002,0.22200002,9.507001,0.108625,0.025575,-0.139425
-0.28800002,0.16695,9.33195,0.098175,0.00495,-0.0045375
-0.42000002,0.10005,9.89505,-0.0537625,-0.0380875,0.2013
