@ HyperIMU - ianovir
@ Date:Wed Aug 16 09:25:42 GMT+03:00 2023, Sampling Rate:100ms

bma4xy_accelerometer.x,bma4xy_accelerometer.y,bma4xy_accelerometer.z,oem_pseudo_gyro.x,oem_pseudo_gyro.y,oem_pseudo_gyro.z
-0.41805002,-0.117000006,9.90705,-1.02905,1.1224124,7.7397375
-0.22800002,-0.342,9.804001,-0.93128747,0.6463875,7.4309125
-0.216,-0.31305,9.591001,-0.5841,0.1604625,3.6631374
-0.33405003,-0.32805002,9.993,-0.2883375,-0.070125,1.3800875
-0.55605,-0.031050002,9.66195,-0.2046,-0.0691625,0.7524
-0.41295,-0.15495001,10.026,0.0193875,0.0873125,-0.0386375
-0.18495001,-0.18405001,9.613951,0.0072875,0.0,-0.08305
-0.31005,-0.20295002,9.909,0.0097624995,-0.038775,-0.03795
-0.39600003,-0.072000004,10.210951,-0.014025,-6.875E-4,0.1057375
-0.21195,-0.21000001,9.772051,-0.00385,0.004675,0.036575
-0.25005,-0.060000002,9.61905,-0.0169125,-0.02915,0.02365
-0.45105,-0.076050006,10.155001,0.0331375,0.002475,-0.111925
-0.279,-0.094950005,9.721951,0.0697125,0.029975,-0.1313125
-0.18495001,-0.13905,9.83205,0.00715,-0.0240625,-0.029424999
-0.16605,0.0,9.637951,-0.022824999,-0.060225,0.2413125
-0.094050005,-0.052050002,9.595051,-0.0031625,-0.01705,0.1035375
-0.11400001,-0.14595,9.880051,0.0196625,0.00605,-0.100099996
-0.21405001,-0.105000004,9.732,-0.007425,0.006325,-0.109037496
-0.20895001,-0.043050002,9.504001,-0.01265,-4.125E-4,0.054175
-0.36,-0.09105001,9.80595,0.0099,0.0158125,-0.1398375
-0.20895001,-0.15795001,9.942,0.0037125,0.0411125,-0.1876875
-0.42000002,0.00405,9.873,-0.0070125,0.0048125,0.1683
-0.19305001,-0.21795002,10.045051,0.0231,0.040425,0.0165
-0.16395001,-0.14595,9.75105,-0.0303875,-0.022,0.1758625
-0.24000001,-0.13395001,9.768001,-0.0383625,-0.0633875,0.20185
-0.19005,-0.12195001,9.625951,0.0012375,-0.00275,-0.02695
-0.22395001,-0.094950005,9.745951,0.01485,-0.0160875,0.051975
-0.31005,-0.03795,9.873,0.026124999,0.0026125,-0.1854875
-0.24795002,-0.040050004,9.75105,0.017324999,0.034649998,-0.0372625
-0.29805002,-0.0139500005,9.67905,0.0070125,0.016224999,0.039049998
-0.264,-0.109950006,9.835051,0.0012375,0.00275,0.0066
-0.171,-0.057000004,9.753,-0.0022,0.0017875,-0.1109625
-0.10605001,-0.109950006,9.859051,-0.018424999,-0.0364375,0.1777875
-0.252,-0.14805001,9.715051,-0.0056375,-0.01705,0.0165
-0.075,-0.177,9.79905,-0.0264,-0.001375,0.0154
-0.066,-0.22905001,9.81795,-0.02145,-0.027775,-0.0237875
-0.21900001,-0.24405001,10.134001,-0.0345125,-0.011275,0.117975
-0.075,-0.39000002,9.849001,-0.0724625,0.0034375,-0.1029875
-0.19695,-0.40695003,9.8869505,-0.082499996,-0.0083875,0.059125
-0.23805001,-0.34695002,9.693001,-0.048675,0.0132,0.10835
-0.19005,-0.37605003,9.835051,-0.007975,0.0078375,0.0116875
-0.18495001,-0.38295,9.8869505,0.0070125,0.0092124995,-0.121
-0.079950005,-0.36405003,9.468,-0.0067375,0.005225,0.0526625
-0.22095,-0.25605002,9.721951,0.0119624995,-0.0248875,0.061325
-0.24300002,-0.23895001,9.86295,0.0341,0.0193875,-0.1670625
-0.18795002,-0.25800002,9.733951,0.0213125,0.00825,-0.220275
-0.14895001,-0.22905001,9.79605,0.01815,-0.0144375,0.1560625
-0.11400001,-0.29895002,9.892051,-0.002475,-0.0199375,0.076175
-0.15900001,-0.27,9.877951,0.002475,-0.0067375,0.026124999
-0.147,-0.36405003,9.87495,0.0061875,0.004125,0.0017875
-0.21195,-0.18405001,9.74895,-0.013612499,-0.0061875,0.0226875
-0.22605,-0.27,9.736951,0.0075625,0.0125124995,0.0188375
-0.21195,-0.22005,9.613951,0.004675,0.0012375,0.078099996
-0.15405001,-0.34695002,9.94005,0.0023375,-0.0,0.0196625
-0.24795002,-0.36795002,9.922951,-0.032449998,-0.0125124995,0.1368125
-0.18795002,-0.32505003,9.837001,-0.0240625,0.0094875,0.033275
-0.312,-0.28905,9.727051,-0.0114124995,0.0105875,0.07755
-0.20205002,-0.35895002,9.981001,-0.0031625,0.0180125,-0.1332375
-0.21195,-0.354,9.79395,0.005775,0.0078375,-0.11055
-0.11595,-0.402,9.84,0.0042625,0.0017875,-0.0704
-0.19695,-0.39705002,9.84405,-0.014575,-0.014712499,0.0977625
-0.28095,-0.22005,9.78705,-0.0045375,0.0232375,-0.0704
-0.453,-0.036000002,9.70995,0.0499125,0.0411125,-0.047849998
-0.46305,-0.261,9.804001,0.0790625,0.078375,-0.2063875
-0.20505,-0.37605003,9.7560005,-0.0053625,0.0462,-0.1610125
-0.37905002,-0.22200002,9.801001,-0.0182875,-0.019524999,-0.049775
-0.39105,-0.124050006,9.7890005,0.0242,0.0026125,-0.042625
-0.43905002,-0.22500001,9.825001,0.0306625,0.015125,-0.1287
-0.23805001,-0.51000005,9.96405,-0.017875,0.016224999,-0.042625
-0.18300001,-0.32295,9.63405,-0.087175,-0.0807125,0.1951125
0.04095,-0.483,9.897,-0.0078375,-0.0933625,0.1461625
0.10605001,-0.45705003,9.93795,-0.073425,-0.0891,0.2319625
0.063,-1.05495,11.07705,-0.027775,-0.0754875,-0.0396
0.36405003,0.08505,8.644951,-0.142175,-0.109725,0.260975
0.79995006,-0.028050002,9.901951,0.2046,-0.120175,-0.2261875
0.40695003,0.33705002,9.507001,0.123475,-0.22495,-0.048675
-0.19695,0.19995001,10.97595,0.1892,0.0210375,-0.437525
0.13905,-1.6990501,12.184951,0.11,0.2215125,-0.362175
-0.76695,-1.21305,10.15305,-0.48125,0.0996875,0.8025875
-1.7200501,-0.76305,9.19995,-0.2248125,0.372625,0.1986875
-0.72900003,-0.35595003,8.99205,-0.079475,0.4431625,-0.052249998
-0.504,-0.040050004,9.093,0.1522125,0.1115125,-0.2330625
-0.25995,0.066,9.74895,0.2536875,-0.1351625,-0.4802875
-0.042000003,-0.41400003,12.18,0.2220625,-0.237875,-0.495825
0.39105,-1.5340501,13.090051,0.0308,-0.2044625,-0.130075
0.32595003,-1.1530501,9.141001,-0.3810125,-0.1634875,0.730675
-0.41805002,-0.37305,7.5199504,-0.254375,-0.11605,0.613525
0.21300001,0.186,7.7860503,0.0699875,0.00935,-0.0655875
-0.40605003,0.804,8.6310005,0.3218875,-0.1109625,-0.40535
-0.32895002,0.504,9.837001,0.4576,0.1304875,-0.582725
0.81405,-3.7339501,17.37195,0.0754875,0.089925,0.2630375
-1.7340001,-2.6470501,13.594951,-0.9205625,-0.1793,1.8414
0.29700002,0.076050006,6.29895,-0.5336375,0.1078,0.8614375
-0.16605,0.25800002,7.9080005,0.3163875,-0.04015,-0.6870875
0.61095005,0.43995002,9.44205,0.476575,-0.0248875,-0.8316
1.1899501,0.37995002,9.98595,0.392975,-0.2594625,-0.5050375
0.031050002,-1.23705,8.808001,-0.3235375,0.0240625,0.85085
0.86205006,-1.3740001,10.26795,-0.4866125,-0.2074875,1.0506375
0.31605002,0.42105,7.5540004,-0.1148125,-0.2112,0.1813625
0.58695,-0.076050006,10.234051,0.45113748,0.0449625,-1.105225
0.47205,-0.28005,9.64305,0.2454375,0.09955,-0.6903875
0.26805001,-1.524,11.125051,0.003025,0.027224999,0.13859999
-1.116,-1.43595,11.91195,-0.3724875,0.2585,0.9273
0.261,-0.32805002,7.7860503,-0.27513748,0.4643375,0.4879875
0.04605,0.028050002,8.764951,0.2816,-0.020624999,-0.803825
0.076950006,0.20505,10.143001,0.3381125,-0.0719125,-0.871475
0.93600005,0.40905002,11.28495,0.2140875,-0.127875,-0.36685
0.20400001,0.15495001,8.784,-0.2982375,-0.3546125,0.995775
-0.21900001,-0.53595,8.418,-0.142175,-0.0,0.36107498
0.08895,0.24105,6.1390505,-0.005775,0.069299996,0.010175
-0.18105,0.042000003,10.11495,0.230725,0.170225,-0.801075
0.74505,-0.24900001,15.852001,0.2399375,0.2938375,-0.64845
-0.010950001,-1.1340001,11.359051,-0.0884125,0.0438625,0.4758875
-1.605,0.32700002,7.1299505,-0.34553748,0.111237496,1.1781
-0.075,0.66195005,5.48295,0.0991375,0.081125,-0.0011
-0.726,0.22905001,8.83905,0.28765,-0.2044625,-0.51205
-0.82695,0.15705001,11.92695,0.206525,-0.0400125,-0.400125
0.87405,-0.201,13.04205,0.157575,-0.049225,-0.347875
-0.549,-1.1890501,10.816051,-0.1560625,-0.3540625,0.37235
-0.657,-0.34905002,9.217051,-0.400675,0.12979999,0.61765
0.23700002,0.28695002,8.58495,0.0661375,0.3075875,-0.2949375
-0.71205,0.17400001,10.498051,0.3894,-0.0411125,-0.797775
1.48395,-3.0349503,14.524051,0.1439625,0.08085,-0.30855
-1.713,-1.64205,11.57205,-0.7379625,-0.3128125,1.317525
-0.99405,-0.77295005,10.030951,-0.3724875,0.3579125,0.414975
-0.44895002,-0.060000002,8.487,0.1733875,0.2294875,-0.788975
-0.19695,-0.124050006,10.005,0.3914625,0.0358875,-0.779625
1.01505,-0.15300001,9.069,0.1882375,-0.081125,-0.1953875
0.048,-0.009000001,8.545051,-0.211475,-0.4723125,0.5608625
-0.47505003,-1.47195,11.26605,-0.0372625,-0.00495,-0.0955625
-0.28095,0.23400001,7.68795,-0.1527625,0.15785,-0.072875
0.57495004,-0.69900006,9.076051,0.2520375,-0.0154,-0.618475
0.28800002,-0.63900006,13.341001,0.0746625,-0.1901625,-0.0473
0.30195,-2.05095,10.31805,-0.4081,-0.01265,0.58905
0.039,-2.1079502,10.701,-0.3884375,-0.046475,0.749375
0.393,0.018000001,5.6410503,-0.2011625,-0.07975,0.100237496
0.35505003,-0.90705,10.174951,0.33495,-0.060225,-0.70565
0.14205001,0.112050004,12.70905,0.2633125,-0.0226875,-0.23773749
-0.08205,-1.1509501,8.71395,-0.1494625,0.093637496,0.4444
0.034050003,-1.9720501,9.552,-0.24365,-0.181775,0.74909997
0.17295001,0.109050006,6.867,-0.14905,0.0169125,0.4142875
0.109950006,0.109050006,10.49295,0.45155,0.11495,-0.963875
0.32595003,-0.50505,13.614,0.4101625,0.035475,-0.63085
-1.1400001,-2.2110002,13.618951,0.0911625,0.1485,-0.0939125
-1.212,-0.74205005,9.109051,-0.49307498,0.2990625,0.9904125
0.90795004,0.25995,7.1659503,0.0295625,0.142725,0.038225
0.20400001,-0.25305,9.1050005,0.4151125,-0.3342625,-0.9348625
-0.25005,-0.82305,10.95705,0.091025,0.033,-0.1255375
0.072000004,-3.456,15.77595,-0.054725,-0.08745,0.2765125
0.32595003,-0.71295005,8.911051,-0.3762,-0.043725,0.6254875
0.0,-1.09095,8.652,-0.099,-0.063525,0.428725
0.010050001,0.342,8.80305,0.205425,0.052525,-0.487025
-0.14505,-0.10695001,11.269051,0.4838625,0.09295,-0.7800375
-1.4490001,0.531,9.77505,0.197725,0.0853875,-0.19635
-0.91800004,-1.98195,10.390051,-0.100375,0.0240625,0.4664
-0.432,0.73905003,7.48395,-0.5735125,0.0210375,1.1826375
-0.45600003,-0.10005,8.607,0.4521,0.0639375,-0.8622625
-0.22095,-0.97605,12.501,0.2506625,0.0262625,-0.4785
0.24705002,-3.4939501,15.89805,-0.003025,-0.02365,-0.1480875
0.80505,-1.338,10.227,-0.5328125,-0.19607499,0.8053375
-0.51600003,-0.57900006,6.83505,-0.27225,-0.302775,0.40205
-0.52995,0.77205,8.05095,0.1296625,0.0878625,-0.5049
-0.88695,-0.15795001,10.6050005,0.5229125,0.27981248,-1.21055
-3.6370502,0.43005002,9.45405,0.0422125,0.1167375,-0.2041875
-1.22895,-2.1349502,11.680051,-0.4318875,0.352,0.71665
0.84300005,0.54,6.4450502,-0.54505,-0.1947,1.1946
0.29700002,-0.69900006,6.5790005,0.43285,-0.3843125,-0.7968125
0.15405001,-0.768,10.10505,0.084975,-0.14245,-0.3146
0.78300005,-1.4170501,15.663001,-0.21505,-0.071225,0.298925
0.16800001,-1.8720001,10.110001,-0.33385,-0.084975,0.5652625
0.63495004,-2.058,8.547,-0.306075,0.1709125,0.5874
-0.09900001,0.64995,6.2389503,0.034925,0.11495,-0.5621
0.23295002,-1.7880001,11.74995,0.66728747,0.276925,-1.8319125
0.23505001,-0.897,14.964001,0.08305,0.021175,-0.15853749
0.49800003,-3.7480502,14.770051,-0.16733749,0.1397,0.5643
-0.50595003,-0.94995004,7.6800003,-0.519475,-0.1414875,1.05325
0.72105,-0.22005,5.9160004,0.1469875,0.182325,-0.465025
0.80700004,-1.70595,10.729951,0.28861248,-0.2913625,-0.4879875
0.48900002,-1.3950001,13.075951,0.0342375,-0.281325,-0.0097624995
2.05605,-2.5819502,17.125952,0.1739375,-0.041249998,-0.253275
0.87900007,-4.011,13.861051,-0.061049998,-0.190575,0.2745875
0.14595,-0.75405,7.458,-0.4527875,0.0490875,1.0063624
0.60405004,-0.17895001,9.97095,0.4285875,0.453475,-1.1765875
0.120000005,0.23595001,10.48095,0.623425,-0.076725,-1.2076625
-0.74295,-3.79605,10.648951,0.0240625,0.0416625,-0.1056
-1.0999501,-4.67205,12.847951,-1.078275,-0.1929125,2.09165
0.62295,-0.924,7.6399503,-0.811525,-0.00825,1.8387874
0.38805002,-0.58605003,7.1350503,0.3779875,-0.1667875,-0.8179875
-0.40995002,-0.735,11.059951,0.5198875,0.109725,-1.20065
0.76395005,-2.1730502,14.767951,0.4923875,0.2943875,-1.0841875
-0.32895002,-3.2290502,8.89605,-0.5775,-0.0154,0.6857125
-0.40095,-4.1860504,11.932051,-0.759,-0.17985,1.2032624
-0.025050001,-0.82605004,4.6069503,-0.4593875,-0.3421,0.952875
0.26805001,-0.82095003,6.1150503,0.2795375,0.1285625,-0.729575
0.80700004,0.69600004,8.81505,0.54065,0.0295625,-1.37555
0.37605003,-2.1349502,11.362051,0.9444875,-0.1948375,-1.6726875
-1.1689501,-3.1710002,11.44095,-0.1881,0.055,0.344025
0.21300001,-4.88805,14.328001,-0.66522497,0.4401375,1.3671625
0.59895,-1.1920501,7.86705,-0.49307498,-0.0837375,1.05435
0.192,-0.71295005,8.03205,0.1879625,-0.2061125,-0.549725
0.31905,-1.8049501,10.065001,0.41181248,-0.1266375,-0.8382
-1.0710001,-2.436,9.540001,0.1364,-0.0983125,-0.1882375
0.132,-2.262,9.712951,-0.2805,0.069025,0.48688748
0.27105,-1.6180501,9.406051,-0.2116125,0.0422125,0.3144625
0.582,-0.87600005,9.583051,0.2629,0.15895,-0.68901247
-0.60705,-1.50495,9.835051,0.448525,0.0908875,-0.7722
-0.82005006,-2.5440001,10.6390505,-0.0605,0.27513748,0.138325
-2.02095,-2.6490002,11.203951,-0.424875,-0.066,0.74415
0.83805007,-2.8600502,10.83495,-0.1590875,0.41593748,0.247775
0.47895002,-0.32295,5.55705,-0.08965,-0.5559125,0.19635
-0.13005,-1.40205,10.3279505,0.3883,-0.117425,-0.9647
1.03005,-0.59595,10.783051,0.186175,-0.0121,-0.16885
0.53895,-2.5420501,9.946951,-0.0158125,-0.105875,0.1087625
-0.030000001,-1.46895,5.92605,-0.268675,-0.0484,0.5346
0.22500001,-0.024,6.7519503,0.0485375,0.11495,-0.061325
0.76605004,-1.1920501,10.029,0.6241125,0.0158125,-1.167925
1.07505,-2.592,14.0449505,0.0930875,-0.003575,-0.5042125
1.9849501,-5.15805,13.906051,-0.381975,0.0930875,0.839025
-1.0710001,-1.9270501,7.2739506,-0.6824125,-0.298375,1.3697749
0.27600002,-0.68205005,6.77295,-0.0108624995,0.4866125,-0.1903
1.077,-1.44105,9.828,0.469425,0.0114124995,-0.9851875
