timestamp,time,accX,accY,accZ,gyrX,gyrY,gyrZ
1692594601931,0.0,-0.07005,-0.37995002,10.041,-0.2066625,0.1615625,-0.3221625
1692594601967,0.036,-0.09900001,-0.31995,9.94995,-0.559075,0.301675,1.0258875
1692594602000,0.069,-0.11400001,-0.32505003,9.885,-0.8382,0.465025,2.591325
1692594602032,0.101,-0.058050003,-0.31605002,9.7890005,-1.2104125,0.920425,7.3552876
1692594602058,0.127,-0.087000005,-0.34905002,9.703051,-1.2887875,1.1044,9.985525
1692594602081,0.15,-0.147,-0.32295,9.80595,-1.292775,1.1521125,11.717338
1692594602110,0.179,-0.079950005,-0.39900002,9.753,-1.1254375,0.88989997,11.421575
1692594602133,0.202,-0.12105001,-0.36105,9.741,-1.0044374,0.7041375,10.171425
1692594602167,0.236,-0.13305001,-0.37800002,9.816001,-0.77275,0.3889875,7.229475
1692594602196,0.265,-0.15405001,-0.31800002,9.918,-0.6771875,0.27335,6.1727877
1692594602221,0.29,-0.063,-0.342,9.82995,-0.59345,0.184525,4.9691124
1692594602254,0.323,-0.06105,-0.29205,9.772051,-0.4437125,0.0721875,3.2014124
1692594602282,0.351,-0.12795001,-0.29700002,9.82005,-0.3782625,0.0385,2.5449874
1692594602308,0.377,-0.12795001,-0.294,9.772051,-0.322575,0.01375,2.03005
1692594602337,0.406,-0.10605001,-0.30600002,9.696,-0.236225,-0.014575,1.34365
1692594602366,0.435,-0.11100001,-0.28695002,9.7890005,-0.2022625,-0.02035,1.136575
1692594602393,0.462,-0.109050006,-0.24105,9.873,-0.1736625,-0.0235125,1.001275
1692594602424,0.493,-0.066,-0.38295,9.87495,-0.1288375,-0.0246125,0.7973625
1692594602455,0.524,-0.13305001,-0.31605002,9.84195,-0.092125,-0.0202125,0.5335
1692594602485,0.554,-0.13995,-0.20295002,9.691051,-0.07535,-0.018975,0.3375625
1692594602516,0.585,-0.09900001,-0.22500001,9.825001,-0.0704,-0.0176,0.3059375
1692594602539,0.608,-0.09195001,-0.26295,9.78195,-0.0603625,-0.014162499,0.2996125
1692594602571,0.64,-0.11595,-0.31305,9.79905,-0.045649998,-0.0097624995,0.2858625
1692594602606,0.675,-0.13305001,-0.23205002,9.945001,-0.01815,-0.0022,0.122099996
1692594602630,0.699,-0.094050005,-0.201,9.784051,-0.018424999,0.0012375,0.0474375
1692594602655,0.724,-0.058050003,-0.26805001,9.74895,-0.0163625,0.005225,-0.0259875
1692594602684,0.753,-0.10605001,-0.26505002,9.753,-0.0105875,0.0070125,-0.073975
1692594602716,0.785,-0.15405001,-0.20595,9.83205,-0.003575,0.00165,-0.0391875
1692594602746,0.815,-0.12105001,-0.24105,9.76095,-0.0006875,-0.0039875,0.004675
1692594602775,0.844,-0.05595,-0.32295,9.87495,0.002475,-0.0026125,0.0158125
1692594602803,0.872,-0.09705,-0.26505002,9.77505,0.0067375,-0.00165,0.0386375
1692594602837,0.906,-0.20700002,-0.24900001,9.672001,0.003025,-0.00165,-0.0218625
1692594602863,0.932,-0.15195,-0.23700002,9.684,-0.0006875,-0.0,-0.1062875
1692594602894,0.963,-0.16605,-0.246,9.613951,-0.00055,0.011825,-0.2030875
1692594602925,0.994,-0.22395001,-0.22005,9.8539505,0.0011,0.0174625,-0.1797125
1692594602954,1.023,-0.26895002,-0.23205002,9.75105,-0.000825,0.0198,-0.048675
1692594602985,1.054,-0.33405003,-0.29700002,9.8230505,-0.0017875,0.023375,-0.0182875
1692594603025,1.094,-0.40305,-0.28005,9.47805,0.001375,0.042625,-0.0501875
1692594603056,1.125,-0.57795,-0.13095,9.58605,-0.0023375,0.070125,-0.069025
1692594603084,1.153,-0.726,-0.12195001,9.691051,-0.00495,0.0889625,-0.073699996
1692594603117,1.186,-0.96300006,-0.061950002,9.637951,0.0092124995,0.132825,-0.12815
1692594603147,1.216,-1.215,0.0019500001,9.049951,0.0427625,0.190575,-0.15235
1692594603174,1.243,-1.4989501,0.069000006,9.28905,0.05775,0.2286625,-0.1379125
1692594603203,1.272,-1.8060001,0.018000001,9.306001,0.0727375,0.2721125,-0.1522125
