timestamp,time,accX,accY,accZ,gyrX,gyrY,gyrZ
1692533078333,0.0,-0.41295,0.162,10.014001,0.039875,0.4461875,1.1668249
1692533078369,0.036,-0.32205,0.13305001,9.68595,-0.97061247,0.6287875,6.3790374
1692533078392,0.059,-0.43005002,0.15705001,9.889951,-1.6608624,0.9780375,11.2662
1692533078419,0.086,-0.39105,0.126,9.89505,-1.6608624,0.9780375,11.2662
1692533078452,0.119,-0.049050003,-0.124050006,9.81795,-2.128225,1.0646625,16.300625
1692533078479,0.146,-0.312,-0.097950004,9.889951,-1.4543375,0.520025,10.82125
1692533078509,0.176,-0.07305,-0.23700002,9.574051,-1.1884125,0.3026375,8.508637
1692533078541,0.208,-0.123,-0.23895001,9.64095,-0.8100125,0.027775,5.296775
1692533078565,0.232,-0.27600002,-0.25095,9.571051,-0.6788375,-0.0438625,4.0715127
1692533078592,0.259,0.097950004,-0.423,9.571051,-0.5776375,-0.09295,3.1724
1692533078617,0.284,0.06705,-0.423,9.62895,-0.4973375,-0.12155,2.4991999
1692533078649,0.316,0.18495001,-0.684,10.012051,-0.3900875,-0.14245,1.6478
1692533078675,0.342,0.34005,-0.711,9.83205,-0.36025,-0.1596375,1.3921875
1692533078702,0.369,0.112950005,-0.49800003,9.816001,-0.3408625,-0.1821875,1.1853875
1692533078731,0.398,-0.20895001,-0.18405001,9.61005,-0.327525,-0.2215125,0.879175
1692533078760,0.427,-0.16395001,-0.16005,9.49695,-0.26633748,-0.1959375,0.558525
1692533078788,0.455,-0.29295,-0.27,10.078951,-0.2006125,-0.147125,0.34265
1692533078813,0.48,-0.351,-0.29700002,10.354051,-0.1359875,-0.0946,0.15565
1692533078841,0.508,-0.324,-0.33,10.242001,-0.057475,-0.014575,0.0009625
1692533078871,0.538,-0.027,-0.402,9.85095,-0.040975,0.018424999,-0.029424999
1692533078899,0.566,-0.20505,-0.282,9.727051,-0.03575,0.0540375,-0.1175625
1692533078926,0.593,-0.17595,-0.30105,9.837001,-0.0407,0.0474375,-0.1258125
1692533078956,0.623,-0.20205002,-0.28005,9.859051,-0.040975,0.0202125,-0.0237875
1692533078983,0.65,-0.102000006,-0.32505003,9.8869505,-0.034375,0.0144375,0.041525
1692533079010,0.677,-0.24495001,-0.273,9.732,-0.0284625,0.011825,0.096525
1692533079040,0.707,-0.21900001,-0.25095,9.703051,-0.023924999,-0.0017875,0.1698125
1692533079067,0.734,-0.16395001,-0.26805001,9.721951,-0.020075,-0.008525,0.155375
1692533079095,0.762,-0.126,-0.37095,9.753,-0.01265,-0.0089375,0.0930875
1692533079119,0.786,-0.126,-0.48795003,10.111951,-0.0044,-0.00495,0.0097624995
1692533079146,0.813,-0.22395001,-0.20595,10.07205,-0.0039875,-0.0037125,-0.0661375
1692533079174,0.841,-0.26205,-0.33705002,10.18395,-0.00605,-0.0048125,-0.0521125
1692533079212,0.879,-0.17295001,-0.34905002,9.684,-0.0066,0.00825,-0.085525
1692533079241,0.908,-0.17295001,-0.34905002,9.684,-0.0066,0.00825,-0.085525
1692533079276,0.943,-0.123,-0.24405001,9.741,-0.00275,0.0154,-0.0972125
1692533079319,0.986,-0.123,-0.24405001,9.741,-0.00275,0.0154,-0.0972125
1692533079338,1.005,-0.123,-0.24405001,9.741,-0.00275,0.0154,-0.0972125
1692533079362,1.029,-0.123,-0.24405001,9.741,-0.00275,0.0154,-0.0972125
1692533079390,1.057,-0.25500003,-0.23700002,10.419001,0.004675,-0.017875,0.041249998
1692533079417,1.084,-0.25500003,-0.23700002,10.419001,0.004675,-0.017875,0.041249998
1692533079453,1.12,-0.25500003,-0.23700002,10.419001,0.004675,-0.017875,0.041249998
1692533079486,1.153,-0.25500003,-0.23700002,10.419001,0.004675,-0.017875,0.041249998
1692533079510,1.177,-0.25500003,-0.23700002,10.419001,0.004675,-0.017875,0.041249998
1692533079543,1.21,-0.25500003,-0.06705,9.757951,0.0699875,0.0418,-0.0132
1692533079594,1.261,-0.20505,-0.076050006,9.660001,0.0785125,0.0301125,-0.0088
1692533079609,1.276,-0.126,-0.094950005,9.733951,0.07095,0.0224125,0.0077
1692533079641,1.308,-0.09195001,-0.072000004,9.550051,0.0495,-0.00165,0.059675
1692533079663,1.33,-0.216,0.045,9.580951,0.0408375,-0.014162499,0.0826375
1692533079692,1.359,-0.09900001,-0.043050002,9.84,0.0356125,-0.0251625,0.0955625
1692533079718,1.385,0.10605001,-0.15795001,9.85095,0.0347875,-0.0320375,0.091299996
1692533079747,1.414,-0.05595,-0.094950005,9.837001,0.0400125,-0.0380875,0.05335
1692533079775,1.442,-0.09705,-0.072000004,9.880051,0.0364375,-0.0449625,0.050875
1692533079806,1.473,-0.075,-0.13095,9.913951,0.0270875,-0.051975,0.0570625
1692533079836,1.503,0.043050002,-0.13905,9.8230505,0.009075,-0.047849998,0.037675
1692533079865,1.532,-0.11595,-0.0139500005,9.660001,0.0017875,-0.041249998,-0.0246125
1692533079889,1.556,-0.058050003,-0.055050004,9.724951,0.001925,-0.0446875,-0.0699875
1692533079915,1.582,-0.043950003,-0.20295002,9.990001,0.004675,-0.0457875,-0.1192125
1692533079941,1.608,-0.109050006,-0.15,10.06005,0.0072875,-0.0320375,-0.12595
1692533079971,1.638,-0.094050005,-0.024,9.696,0.0022,-0.0242,-0.0672375
1692533079996,1.663,-0.08505,-0.021000002,9.603001,-0.00495,-0.0185625,0.002475
1692533080028,1.695,-0.13305001,-0.09105001,9.93795,-0.0067375,-0.00605,0.066
1692533080057,1.724,-0.13695,-0.13905,9.81795,0.0103124995,0.0026125,-0.0900625
1692533080083,1.75,-0.13995,-0.124050006,9.85095,0.014025,0.0081124995,-0.186175
1692533080112,1.779,-0.19695,-0.079050004,9.700951,0.0121,0.0132,-0.2256375
1692533080139,1.806,-0.147,-0.105000004,9.708,0.0034375,0.01815,-0.149875
1692533080167,1.834,-0.21900001,-0.040050004,9.724951,0.0009625,0.0204875,-0.0933625
1692533080197,1.864,-0.16395001,-0.043050002,9.712951,0.001375,0.0253,-0.0551375
1692533080230,1.897,-0.11805001,-0.14295001,10.14105,0.0103124995,0.0358875,-0.0334125
1692533080256,1.923,-0.21405001,0.010950001,9.825001,0.013612499,0.0334125,-0.014712499
1692533080281,1.948,-0.18105,0.009000001,9.724951,0.013062499,0.017875,0.0639375
1692533080306,1.973,-0.16095,-0.036000002,9.784051,0.0158125,0.015125,0.0664125
1692533080334,2.001,-0.19695,0.078,9.648001,0.02255,0.0165,0.015125
1692533080360,2.027,-0.22095,0.15,9.378,0.0303875,0.0185625,-0.0666875
1692533080389,2.056,-0.25500003,0.117000006,9.45195,0.044,0.02145,-0.192775
1692533080421,2.088,-0.252,0.162,9.495001,0.0639375,0.0273625,-0.2512125
1692533080448,2.115,-0.26700002,0.124050006,9.837001,0.07095,0.0314875,-0.2195875
1692533080475,2.142,-0.09900001,0.10695001,10.10805,0.073699996,0.0353375,-0.137775
1692533080500,2.167,-0.039,0.24795002,9.95895,0.0732875,0.0375375,-0.0548625
1692533080529,2.196,-0.094050005,0.492,9.78195,0.0702625,0.022824999,-0.067375
1692533080559,2.226,-0.13005,0.68895006,9.33705,0.075625,0.004125,-0.1522125
1692533080587,2.254,-0.09900001,0.693,9.415951,0.1302125,-0.0281875,-0.3576375
1692533080613,2.28,-0.252,0.65295005,9.801001,0.1731125,-0.0347875,-0.4527875
1692533080642,2.309,-0.20205002,0.68100005,9.715051,0.2319625,-0.0363,-0.6001875
1692533080673,2.34,0.036000002,0.72,9.81795,0.2360875,-0.031625,-0.6351125
1692533080701,2.368,0.28995,0.74100006,9.89505,0.2140875,-0.028324999,-0.57145
1692533080727,2.394,0.25605002,0.85395,9.327001,0.1997875,-0.0452375,-0.48894998
1692533080754,2.421,0.21795002,0.98100007,9.229051,0.1881,-0.0771375,-0.4076875
1692533080785,2.452,0.156,1.0210501,9.576,0.1841125,-0.1420375,-0.3004375
1692533080813,2.48,0.015000001,1.1700001,9.33195,0.1942875,-0.1555125,-0.285725
1692533080841,2.508,0.18900001,1.1770501,9.109051,0.21945,-0.146025,-0.3345375
1692533080868,2.535,0.32295,1.12395,9.186001,0.2327875,-0.1315875,-0.3460875
1692533080894,2.561,0.30900002,1.0210501,9.48495,0.2459875,-0.1175625,-0.3168
1692533080926,2.593,0.261,1.0020001,9.46395,0.24035,-0.11,-0.20515
1692533080951,2.618,0.063,1.07595,9.411,0.2143625,-0.114675,-0.1725625
1692533080979,2.646,-0.109050006,1.09095,9.259951,0.1524875,-0.106425,-0.1742125
1692533081009,2.676,-0.27405003,1.452,8.932051,0.1302125,-0.0823625,-0.2105125
1692533081035,2.702,-0.20895001,2.12205,9.052051,0.1166,-0.0474375,-0.2594625
1692533081065,2.732,0.46500003,3.216,7.9510503,0.1524875,0.0254375,-0.3416875
1692533081092,2.759,0.72300005,3.6760502,6.5839505,0.2388375,0.04015,-0.419375
1692533081119,2.786,1.3909501,3.348,8.262,0.5990875,-0.0836,-0.799975
1692533081148,2.815,1.4440501,3.6450002,8.99205,0.8130375,-0.2228875,-1.000175
1692533081177,2.844,0.42900002,3.8080502,7.3090506,0.9692375,-0.374,-1.0726374
1692533081203,2.87,1.4629501,3.2209501,6.90705,1.0357875,-0.570625,-0.829675
1692533081232,2.899,2.00895,1.4140501,8.109,1.0153,-0.5874,-0.7181625
1692533081258,2.925,1.24695,0.294,8.805,0.979825,-0.577775,-0.6565625
1692533081288,2.955,-1.215,-0.65805006,8.2570505,0.64968747,-0.5493125,-0.2022625
1692533081316,2.983,-0.92295,-1.5169501,9.729,0.2825625,-0.4431625,0.2234375
1692533081343,3.01,-0.135,-2.7570002,10.251,-0.604725,0.1529,0.88054997
1692533081372,3.039,-1.2220501,-2.772,9.715051,-1.013925,0.5110875,1.1556875
1692533081399,3.066,-1.1910001,-3.4660501,10.99995,-1.6787375,0.9123125,2.0895875
1692533081429,3.096,-0.96105003,-4.0279503,11.154,-1.8918625,0.958925,2.66805
1692533081458,3.125,-1.23405,-3.5640001,10.94505,-2.0194626,0.940775,3.2217624
1692533081483,3.15,-1.0830001,-3.3750002,11.78295,-2.099075,0.674025,4.162125
1692533081511,3.178,-1.1880001,-3.28095,11.45505,-2.03995,0.4621375,4.3957376
1692533081540,3.207,-0.60195005,-3.04905,11.09595,-1.6795624,0.1280125,4.0789375
1692533081569,3.236,-0.3,-2.5729501,11.314051,-1.4454,0.022824999,3.6779876
1692533081597,3.264,-0.58305,-2.3500502,11.701951,-1.221825,-0.06435,3.230425
1692533081624,3.291,-0.64695,-2.661,11.979001,-0.8113875,-0.20625,2.2851124
1692533081653,3.32,-0.93195003,-2.53905,12.991951,-0.61985,-0.23265,1.833425
1692533081679,3.346,-1.1520001,-1.7260501,12.738001,-0.3084125,-0.177375,1.0861125
1692533081707,3.374,-0.51795,-0.8880001,10.816051,-0.1841125,-0.113575,0.752675
1692533081736,3.403,0.20400001,-0.54300004,9.816001,-0.051975,-0.0308,0.39214998
1692533081765,3.432,-0.11400001,-0.64395005,10.629001,0.254375,0.1115125,-0.4126375
1692533081792,3.459,-0.16605,-0.84705,11.532001,0.3870625,0.1247125,-0.7767375
1692533081821,3.488,-0.35805002,-1.1850001,12.027,0.52648747,0.07425,-1.1881375
