timestamp,time,accX,accY,accZ,gyrX,gyrY,gyrZ
1692440406933,0.0,0.14895001,-0.060000002,9.77505,0.10615,-0.018975,-1.117325
1692440406976,0.043,-0.054,0.042000003,9.74895,0.11055,-0.163075,-1.2414875
1692440407003,0.07,0.23295002,-0.124050006,9.739051,0.0969375,-0.3114375,-1.1598125
1692440407037,0.104,-0.18495001,-0.012,9.691051,0.079475,-0.309375,-0.9009
1692440407057,0.124,-0.46305,0.13605,10.146001,0.0650375,-0.2930125,-0.7717875
1692440407083,0.15,-0.09,0.054,9.80595,0.0512875,-0.2629,-0.6615125
1692440407117,0.184,0.24000001,-0.12195001,10.74705,0.054175,-0.14795,-0.5762625
1692440407142,0.209,0.49800003,0.0019500001,11.314051,0.0581625,-0.1087625,-0.5660875
1692440407169,0.236,0.83295006,0.033,9.861,0.0449625,-0.110275,-0.516175
1692440407194,0.261,0.24900001,0.39705002,9.69795,0.0196625,-0.1508375,-0.4329875
1692440407228,0.295,0.076950006,0.507,8.944051,0.005225,-0.2814625,-0.340175
1692440407246,0.313,-0.252,0.17400001,8.3220005,0.0347875,-0.3073125,-0.3658875
1692440407283,0.35,2.3100002,-1.33095,9.61005,0.11165,-0.231825,-0.4453625
1692440407308,0.375,1.48395,-1.04595,10.870951,0.084975,-0.2077625,-0.3458125
1692440407335,0.402,-0.09195001,0.09705,11.983951,-0.0257125,-0.257125,-0.06985
1692440407363,0.43,-1.605,1.179,9.387,-0.2836625,-0.4307875,0.451
1692440407390,0.457,-1.4490001,0.624,8.30805,-0.26895,-0.3597,0.3482875
1692440407417,0.484,-1.00605,0.16695,9.403951,0.0372625,0.1287,-0.41525
1692440407444,0.511,0.61605,-0.91605,10.938001,0.1810875,0.36574998,-0.7352125
1692440407472,0.539,2.5399501,-2.01795,10.6050005,0.2349875,0.4989875,-0.82445
1692440407500,0.567,3.0859501,-2.32605,10.58205,0.0253,0.2915,-0.27101249
1692440407531,0.598,-0.44895002,0.19305001,10.29405,-0.191125,-0.0364375,0.1797125
1692440407562,0.629,-0.291,0.141,9.871051,-0.5196125,-0.6191625,0.6898375
1692440407593,0.66,0.024,0.076050006,9.424951,-0.4862,-0.6067875,0.5776375
1692440407624,0.691,0.41205,0.08805001,8.63595,-0.128975,-0.126775,-0.014162499
1692440407655,0.722,0.40500003,0.09705,9.865951,0.0235125,0.0551375,-0.215875
1692440407690,0.757,0.02205,0.45405003,9.76305,0.15015,0.110275,-0.27981248
1692440407714,0.781,0.23700002,0.23895001,9.057,0.17173749,0.076175,-0.23333749
1692440407742,0.809,0.15795001,0.10695001,9.093,0.2063875,0.043175,-0.170775
1692440407773,0.84,-0.09900001,0.38700002,10.024051,0.2129875,0.0435875,-0.17655
1692440407803,0.87,-0.19005,0.38205,10.048051,0.18205,0.0543125,-0.202125
1692440407832,0.899,-0.19305001,0.32205,9.672001,0.16885,0.07755,-0.241725
1692440407860,0.927,0.19695,0.016050002,9.922951,0.17985,0.14739999,-0.2776125
1692440407896,0.963,0.49800003,-0.117000006,9.745951,0.15235,0.15785,-0.070675
1692440407927,0.994,-0.09705,0.31305,9.21,0.1095875,0.120037496,0.0092124995
1692440407961,1.028,-0.13695,0.028050002,10.392,0.0276375,0.0221375,0.0732875
1692440407989,1.056,0.216,-0.15795001,10.68,0.0055,0.0061875,0.082499996
1692440408024,1.091,-0.40305,0.44700003,8.323951,-0.01375,0.043449998,0.102575
1692440408044,1.111,0.12195001,0.0139500005,8.33205,-0.01705,0.06655,0.1408
1692440408068,1.135,-0.22095,0.48795003,9.769951,-0.012925,0.08305,0.153725
1692440408101,1.168,0.36900002,-0.28005,10.56,0.012925,0.099825,0.0028875
1692440408122,1.189,0.36900002,-0.28005,10.56,0.012925,0.099825,0.0028875
1692440408152,1.219,0.36900002,-0.28005,10.56,0.012925,0.099825,0.0028875
1692440408179,1.246,0.36900002,-0.28005,10.56,0.012925,0.099825,0.0028875
1692440408212,1.279,0.36900002,-0.28005,10.56,0.012925,0.099825,0.0028875
1692440408241,1.308,-0.17295001,0.018000001,10.825951,-0.058575,-0.089237496,0.24145
1692440408269,1.336,-0.17295001,0.018000001,10.825951,-0.058575,-0.089237496,0.24145
1692440408301,1.368,-0.17295001,0.018000001,10.825951,-0.058575,-0.089237496,0.24145
1692440408337,1.404,0.23700002,0.25995,9.76095,-0.071775,-0.1439625,0.3914625
1692440408374,1.441,-0.53505003,0.51900005,10.347,-0.0727375,-0.1810875,0.4263875
1692440408411,1.478,-0.47295,0.41805002,8.941951,0.0020625,-0.12925,0.33935
1692440408431,1.498,-0.73395,0.837,9.306001,0.0682,-0.0499125,0.2013
1692440408478,1.545,0.96000004,-0.41595003,9.43305,0.179025,0.1648625,-0.14973749
1692440408499,1.566,1.365,-0.46395,10.407001,0.15345,0.1676125,-0.1181125
1692440408521,1.588,1.3579501,-0.66300005,10.737,0.15345,0.1676125,-0.1181125
1692440408551,1.618,0.73800004,-0.57405,9.8539505,-0.0132,-0.0512875,0.117425
1692440408581,1.648,-0.50100005,0.28905,9.61005,-0.1835625,-0.28393748,0.30855
1692440408607,1.674,-0.80505,0.89895004,9.64305,-0.215875,-0.2926,0.34155
1692440408632,1.699,-1.3369501,1.0500001,10.12005,-0.1915375,-0.213125,0.279675
1692440408661,1.728,0.321,-0.064050004,10.12905,0.0254375,0.1445125,-0.177375
1692440408696,1.763,0.9670501,-0.25095,9.79605,0.1566125,0.33055,-0.4439875
1692440408709,1.776,0.651,0.045,10.345051,0.2272875,0.423225,-0.5856125
1692440408745,1.812,0.14205001,0.25500003,9.102,0.12773749,0.20185,-0.4169
1692440408772,1.839,-0.3,0.20805001,8.134951,0.050325,0.0188375,-0.292325
1692440408804,1.871,0.41400003,0.28395,9.042001,0.007425,-0.1188,-0.186175
1692440408831,1.898,0.85695004,0.105000004,9.603001,0.021724999,-0.0820875,-0.1549625
1692440408859,1.926,0.25905,-0.021000002,10.323001,0.0413875,-0.0149875,-0.0603625
1692440408885,1.952,0.16095,-0.13605,9.8230505,0.03135,-0.052525,0.000275
1692440408914,1.981,0.32295,0.034950003,10.005,0.0088,-0.1016125,0.0477125
1692440408944,2.011,0.91200006,-0.15300001,10.59105,-0.0463375,-0.0884125,0.0479875
1692440408970,2.037,0.108,-0.043050002,10.71105,-0.064075,-0.058575,0.0191125
1692440409000,2.067,0.00795,-0.47400004,10.44495,-0.0779625,-0.0232375,0.0138875
1692440409025,2.092,-0.05595,-0.531,10.455001,-0.087725,0.0004125,0.033825
1692440409053,2.12,0.087000005,-0.54495,10.30605,-0.110825,0.0290125,0.0383625
1692440409082,2.149,0.37605003,-0.51195,10.01895,-0.17985,0.077275,0.0350625
1692440409110,2.177,0.10605001,-0.33495003,9.394051,-0.201025,0.0823625,0.0804375
1692440409139,2.206,0.10095,-0.26805001,9.403951,-0.2028125,0.0341,0.1304875
1692440409171,2.238,0.09105001,-0.34395,10.12695,-0.1848,0.0116875,0.063525
1692440409200,2.267,0.10305001,-0.27,10.066951,-0.1233375,0.0125124995,-0.0177375
1692440409228,2.295,0.087000005,-0.27,9.64305,-0.0935,0.0176,0.0122375
1692440409256,2.323,0.10095,-0.25095,9.64305,-0.047849998,0.02255,0.0603625
1692440409285,2.352,0.0,-0.33195,9.82005,-0.029975,0.0257125,0.0430375
1692440409313,2.38,0.052950002,-0.26505002,9.92805,-0.0158125,0.0303875,-0.0094875
1692440409340,2.407,-0.11100001,-0.246,9.835051,-0.000275,0.0444125,-0.0952875
