timestamp,time,accX,accY,accZ,gyrX,gyrY,gyrZ
1692465923061,0.0,-0.075,-0.67905,10.10805,0.2836625,-0.2061125,-0.5850625
1692465923100,0.039,-0.17595,-0.49005002,9.859051,-0.1802625,-0.6226,-1.6539875
1692465923118,0.057,-0.35805002,-0.354,9.885,-0.1802625,-0.6226,-1.6539875
1692465923146,0.085,-0.27600002,-0.47100002,9.94005,-0.864325,-0.8152375,-2.5471876
1692465923182,0.121,-0.76905006,-0.12900001,9.424951,-1.032075,-0.698225,-2.6288624
1692465923207,0.146,-0.26205,-0.54795,10.074,-1.0049875,-0.5839625,-2.48875
1692465923235,0.174,-0.11595,-0.75405,10.491,-0.9442125,-0.4541625,-2.3133
1692465923260,0.199,-0.23295002,-0.56895,9.909,-0.7910375,-0.2464,-2.0266125
1692465923286,0.225,-0.19500001,-0.51900005,9.765,-0.7326,-0.207625,-1.8709625
1692465923313,0.252,0.003,-0.51405,9.693001,-0.63827497,-0.19305,-1.4480125
1692465923342,0.281,-0.06795,-0.60105,9.97395,-0.576125,-0.1804,-1.255375
1692465923370,0.309,0.096,-0.75105006,10.087951,-0.5072375,-0.167475,-1.1022
1692465923396,0.335,0.051000003,-0.80595005,10.31805,-0.3947625,-0.156475,-0.85263747
1692465923427,0.366,-0.15705001,-0.53595,9.901951,-0.3598375,-0.1584,-0.7327375
1692465923454,0.393,0.12195001,-0.44295,9.385051,-0.3026375,-0.15015,-0.543675
1692465923481,0.42,0.027,-0.39900002,9.129001,-0.2646875,-0.1299375,-0.4890875
1692465923508,0.447,-0.010950001,-0.41400003,9.865951,-0.220825,-0.1104125,-0.439725
1692465923539,0.478,-0.015000001,-0.531,9.741,-0.1313125,-0.0944625,-0.379225
1692465923566,0.505,-0.07305,-0.56700003,10.366051,-0.0966625,-0.08525,-0.385825
1692465923592,0.531,-0.12105001,-0.39000002,10.081051,-0.0765875,-0.073425,-0.364375
1692465923621,0.56,-0.063,-0.32505003,9.507001,-0.0638,-0.050325,-0.145475
1692465923646,0.585,-0.21405001,-0.22200002,9.72,-0.054175,-0.037125,-0.055
1692465923675,0.614,-0.20700002,-0.38295,10.09605,-0.018975,-0.011,-0.091575
1692465923709,0.648,-0.13695,-0.33,9.942,0.0022,0.0056375,-0.156475
1692465923735,0.674,-0.15705001,-0.28500003,9.892051,0.036025,0.04235,-0.2220625
1692465923763,0.702,-0.20205002,-0.25605002,9.70995,0.04235,0.0484,-0.18933749
1692465923791,0.73,-0.10605001,-0.20805001,9.27,0.0449625,0.0391875,-0.0213125
1692465923820,0.759,-0.13005,-0.27705002,9.94995,0.048125,0.0353375,0.0622875
1692465923844,0.783,-0.147,-0.30600002,10.000051,0.0517,0.0328625,0.1153625
1692465923869,0.808,-0.279,-0.16995001,9.732,0.051425,0.029424999,0.1238875
1692465923896,0.835,-0.264,-0.17400001,9.62205,0.046475,0.0257125,0.087175
1692465923924,0.863,-0.16395001,-0.20295002,9.583051,0.0435875,0.0317625,-0.0741125
1692465923954,0.893,-0.18495001,-0.14595,9.861,0.056375,0.0419375,-0.18493749
1692465923990,0.929,-0.18495001,-0.14595,9.861,0.056375,0.0419375,-0.18493749
1692465924015,0.954,-0.18495001,-0.14595,9.861,0.056375,0.0419375,-0.18493749
1692465924041,0.98,-0.18495001,-0.14595,9.861,0.056375,0.0419375,-0.18493749
1692465924074,1.013,-0.19695,-0.19800001,9.691051,0.0323125,0.0022,0.10175
1692465924112,1.051,-0.19695,-0.19800001,9.691051,0.0323125,0.0022,0.10175
1692465924137,1.076,-0.19695,-0.19800001,9.691051,0.0323125,0.0022,0.10175
1692465924174,1.113,-0.19695,-0.19800001,9.691051,0.0323125,0.0022,0.10175
1692465924206,1.145,-0.08205,-0.29895002,10.00695,0.00825,0.0097624995,0.0510125
1692465924228,1.167,-0.28395,-0.03795,9.366,0.00385,0.0083875,0.058575
1692465924258,1.197,-0.28395,-0.03795,9.366,0.00385,0.0083875,0.058575
1692465924294,1.233,-0.15900001,-0.10695001,9.792001,-0.000825,-0.0056375,-0.0506
1692465924317,1.256,-0.171,-0.15495001,10.2630005,0.0144375,-0.001375,-0.06765
1692465924346,1.285,-0.171,-0.12900001,9.897,0.0419375,0.005775,-0.077825
1692465924378,1.317,-0.094050005,-0.076050006,9.8539505,0.0262625,0.003025,-0.04235
1692465924431,1.37,0.010050001,-0.13395001,9.564,0.0411125,-0.00605,-0.0578875
1692465924452,1.391,-0.05595,-0.10305001,9.556951,0.0479875,-0.017875,-0.0583
1692465924475,1.414,-0.05595,-0.10305001,9.556951,0.0479875,-0.017875,-0.0583
1692465924502,1.441,-0.10395,-0.26505002,10.203,0.0279125,-0.051425,0.0402875
1692465924538,1.477,0.13905,-0.36105,9.8560505,0.0199375,-0.030524999,0.01485
1692465924563,1.502,-0.13005,-0.009000001,9.238951,0.001925,-0.0262625,0.0396
1692465924588,1.527,-0.079950005,-0.093,9.5449505,-0.0257125,-0.0331375,0.1007875
1692465924616,1.555,-0.034950003,-0.06705,9.945001,-0.03575,-0.0451,0.115775
1692465924641,1.58,0.01905,-0.09105001,9.612,-0.015125,-0.0375375,0.0757625
1692465924670,1.609,-0.054,0.022950001,9.556951,0.0059125,-0.0273625,0.0862125
1692465924700,1.639,-0.09705,0.028050002,9.62205,0.0298375,-0.0232375,0.237875
1692465924727,1.666,-0.08205,-0.162,10.045051,0.0394625,-0.02365,0.27719998
1692465924753,1.692,-0.16095,-0.07395,10.024051,0.0559625,-0.0122375,0.18205
1692465924780,1.719,-0.16605,-0.20295002,9.98805,0.053075,-0.0037125,0.1062875
1692465924808,1.747,-0.171,-0.21000001,9.922951,0.041249998,0.005225,0.0479875
1692465924837,1.776,-0.32895002,-0.13605,9.79905,0.00825,0.0226875,-0.0528
1692465924862,1.801,-0.324,-0.07395,9.898951,-0.006325,0.0314875,-0.10285
1692465924890,1.829,-0.13005,-0.25605002,10.000051,-0.0155375,0.0438625,-0.1431375
1692465924918,1.857,-0.027,-0.177,9.62895,-0.0165,0.0697125,-0.1973125
1692465924952,1.891,-0.13305001,-0.09105001,9.849001,-0.021724999,0.0517,-0.205425
1692465924979,1.918,-0.054,-0.081,9.624001,-0.0246125,0.0342375,-0.19813749
1692465925006,1.945,-0.126,-0.064050004,9.519,-0.0210375,0.0199375,-0.193325
1692465925034,1.973,-0.063,-0.13095,9.733951,0.0048125,-0.0037125,-0.2055625
1692465925064,2.003,-0.102000006,-0.093,9.885,0.017324999,-0.014025,-0.2102375
1692465925087,2.026,0.015000001,-0.105000004,9.82005,0.0229625,-0.0213125,-0.18975
1692465925117,2.056,0.036000002,-0.12900001,9.93,0.0149875,-0.02915,-0.080575
1692465925146,2.085,-0.05595,-0.0139500005,9.696,0.009625,-0.0342375,-0.044275
1692465925174,2.113,-0.066,-0.036000002,9.8230505,0.0066,-0.0452375,-0.0669625
1692465925203,2.142,-0.08205,-0.033,9.76305,0.0089375,-0.0441375,-0.0935
1692465925230,2.169,0.031050002,-0.19095,9.95205,0.0127875,-0.037675,-0.113437496
1692465925256,2.195,0.051000003,-0.18195,9.837001,0.0155375,-0.0235125,-0.136125
1692465925285,2.224,-0.039,-0.09105001,9.72,0.0088,-0.02365,-0.099275
1692465925315,2.254,-0.05595,-0.079050004,9.729,-0.011275,-0.0301125,0.0273625
1692465925342,2.281,-0.025050001,-0.060000002,9.61905,-0.012925,-0.0268125,-0.0042625
1692465925371,2.31,-0.034950003,-0.033,9.825001,-0.006325,-0.019524999,-0.110275
1692465925400,2.339,0.0,-0.093,9.769951,0.013475,-0.008525,-0.27981248
1692465925428,2.367,-0.015000001,-0.012,9.74895,0.01815,-0.0066,-0.252175
1692465925455,2.394,-0.066,0.08505,9.495001,0.018975,-0.0078375,-0.0617375
1692465925483,2.422,0.09105001,-0.009000001,9.885,0.0209,-0.0092124995,0.0020625
1692465925513,2.452,0.13905,-0.06705,10.053,0.02805,-0.013062499,-0.037675
1692465925541,2.48,0.14205001,-0.081,9.81795,0.027224999,-0.0204875,-0.066
1692465925569,2.508,-0.0010500001,0.11895001,9.65295,0.021175,-0.032449998,-0.0462
1692465925597,2.536,0.028950002,0.064050004,9.66705,0.013062499,-0.0504625,0.043725
1692465925624,2.563,0.13695,-0.048,9.58605,0.021724999,-0.0462,0.04895
1692465925655,2.594,0.10095,-0.009000001,9.430051,0.0416625,-0.027224999,-0.000275
1692465925681,2.62,0.058050003,-0.03795,9.66495,0.0380875,-0.0251625,-0.0416625
1692465925708,2.647,-0.109050006,0.052050002,9.361051,0.0281875,-0.0268125,-0.0886875
1692465925739,2.678,-0.22800002,0.009000001,9.49695,0.0143,-0.020624999,-0.1274625
1692465925766,2.705,-0.23805001,0.040050004,10.078951,0.014712499,-0.0048125,-0.1120625
