@ HyperIMU - ianovir
@ Date:Mon Aug 21 08:23:07 GMT+03:00 2023, Sampling Rate:25ms

timestamp,bma4xy_accelerometer.x,bma4xy_accelerometer.y,bma4xy_accelerometer.z,oem_pseudo_gyro.x,oem_pseudo_gyro.y,oem_pseudo_gyro.z
1692595387241,-0.11595,0.058950003,9.897,-0.0099,-0.045375,-0.038225
1692595387277,-0.09195001,0.061950002,9.80595,0.01595,-0.0504625,-0.133925
1692595387304,-0.97800004,1.31805,9.021001,0.0193875,-0.0529375,-0.1467125
1692595387346,-0.291,0.16695,9.97095,0.054175,0.0031625,-0.08195
1692595387367,-0.17805001,0.126,10.08405,0.054175,0.0031625,-0.08195
1692595387394,-0.29295,0.19800001,10.065001,0.1340625,0.12155,-0.328075
1692595387421,-0.43695003,0.291,10.033051,0.1243,0.1208625,-0.32615
1692595387444,-0.41295,0.21495001,9.942,0.048125,0.055,-0.12773749
1692595387473,-0.16905001,0.13095,9.68595,0.0284625,0.0433125,-0.083325
1692595387499,-0.11805001,0.016050002,9.74895,0.022,0.042625,-0.0757625
1692595387525,0.012,-0.043050002,9.81105,0.0034375,0.0169125,-0.0158125
1692595387556,-0.034950003,0.045,9.660001,-0.022275,-0.011275,0.0708125
1692595387582,-0.16395001,0.17205001,9.49995,-0.04895,-0.0372625,0.1637625
1692595387609,0.16095,-0.18195,10.038,-0.0715,-0.0658625,0.264825
1692595387637,0.18,0.018000001,9.768001,-0.0705375,-0.0732875,0.2941125
1692595387665,0.12195001,0.052050002,9.765,-0.077,-0.0840125,0.351175
1692595387693,0.14595,0.03795,9.67905,-0.1034,-0.122237496,0.4835875
1692595387721,0.00795,0.11400001,9.61005,-0.0961125,-0.1329625,0.4857875
1692595387751,-0.21195,0.294,9.744,-0.050875,-0.1167375,0.3818375
1692595387786,-0.09,0.112050004,9.934951,-0.0037125,-0.069025,0.202675
1692595387815,-0.17595,0.124050006,9.82005,0.020075,-0.036575,0.097625
1692595387838,-0.12105001,0.09705,9.885,0.0353375,-0.0086624995,0.014575
1692595387867,-0.07305,0.057000004,9.933001,0.0328625,0.01485,-0.1183875
1692595387895,0.012,0.052050002,9.61905,0.0254375,0.0158125,-0.21505
1692595387923,0.034050003,-0.0019500001,9.592951,0.007425,0.0017875,-0.33385
1692595387951,-0.05595,0.03795,9.571051,-0.00275,-0.0105875,-0.2847625
