@ HyperIMU - ianovir
@ Date:Mon Aug 21 08:38:01 GMT+03:00 2023, Sampling Rate:25ms

timestamp,bma4xy_accelerometer.x,bma4xy_accelerometer.y,bma4xy_accelerometer.z,oem_pseudo_gyro.x,oem_pseudo_gyro.y,oem_pseudo_gyro.z
1692596281350,-0.38895002,-0.028050002,9.700951,0.20899999,0.1280125,0.16293749
1692596281396,-0.11805001,-0.036000002,9.612,-0.1079375,0.2633125,1.0410125
1692596281419,-0.11400001,-0.11895001,9.918,-0.1079375,0.2633125,1.0410125
1692596281447,-0.14205001,0.0019500001,9.526051,-0.5567375,0.570625,4.0584497
1692596281473,-0.49905002,0.09,9.65295,-0.814825,1.1743875,11.99165
1692596281501,-0.48195,-0.01905,10.024051,-0.857725,1.3990625,15.885238
1692596281527,-0.45795003,-0.109950006,10.275001,-0.8240375,1.3622125,16.510176
1692596281559,-0.41295,-0.13605,10.066951,-0.65835,0.9590625,12.038262
1692596281585,-0.291,-0.19095,10.12695,-0.586025,0.7717875,9.628575
1692596281612,-0.38895002,-0.11895001,9.76095,-0.4811125,0.48014998,6.286225
1692596281644,-0.23805001,-0.22500001,9.768001,-0.4365625,0.369325,4.8890877
1692596281666,-0.23295002,-0.19800001,9.76095,-0.3925625,0.279675,3.8311625
1692596281700,-0.09900001,-0.31605002,9.66705,-0.3147375,0.1533125,2.4459875
1692596281727,-0.010950001,-0.23895001,9.63405,-0.286825,0.1032625,2.02455
1692596281758,-0.22605,-0.072000004,9.62205,-0.238425,0.005775,1.3738999
1692596281784,-0.32205,-0.079050004,10.00905,-0.21175,-0.0317625,1.085975
1692596281813,-0.21900001,-0.20295002,10.066951,-0.1824625,-0.050325,0.83765
1692596281841,-0.09195001,-0.18900001,9.636001,-0.119075,-0.0308,0.4602125
1692596281868,0.028950002,-0.33,9.95205,-0.0889625,-0.016224999,0.33385
1692596281898,-0.216,-0.15495001,10.05,-0.0917125,-0.029424999,0.38541248
1692596281925,-0.42705002,0.057000004,9.717,-0.09845,-0.049225,0.461175
1692596281955,-0.07305,-0.079050004,9.580951,-0.0881375,-0.06215,0.4269375
1692596281984,-0.17805001,-0.049950004,9.552,-0.056925,-0.0429,0.2877875
1692596282015,-0.19695,-0.15300001,9.99705,0.0133375,-0.0050875,0.0037125
